QC_ID,Product_ID,Inspection_Date,Inspection_Result,Defects_Detected
1,6,2023-08-14,Fail,1
2,8,2023-10-12,Fail,0
3,5,2023-01-04,Fail,0
4,16,2023-04-09,Fail,2
5,18,2023-02-08,Fail,2
6,6,2023-09-28,Pass,1
7,5,2023-10-12,Fail,2
8,16,2023-06-06,Pass,2
9,13,2023-03-16,Pass,0
10,5,2023-10-15,Pass,0
11,13,2023-05-10,Pass,1
12,17,2023-06-24,Fail,2
13,18,2023-03-25,Pass,2
14,8,2023-01-22,Pass,0
15,13,2023-01-27,Fail,2
16,19,2023-07-14,Fail,0
17,3,2023-12-03,Fail,1
18,8,2023-08-24,Pass,0
19,2,2023-04-02,Fail,2
20,8,2023-01-21,Fail,1
21,13,2023-10-30,Pass,0
22,13,2023-12-23,Fail,0
23,1,2023-03-25,Fail,1
24,6,2023-09-19,Fail,1
25,19,2023-05-27,Fail,0
26,16,2023-09-14,Pass,2
27,8,2023-02-27,Fail,0
28,1,2023-01-15,Fail,1
29,16,2023-06-11,Pass,0
30,9,2023-06-12,Fail,1
31,13,2023-11-16,Pass,1
32,11,2023-10-08,Fail,2
33,13,2023-10-07,Pass,1
34,10,2023-01-12,Pass,1
35,4,2023-10-01,Pass,2
36,6,2023-09-28,Pass,1
37,7,2023-07-27,Fail,2
38,5,2023-01-27,Pass,2
39,11,2023-03-13,Fail,1
40,13,2023-03-01,Pass,1
41,19,2023-05-25,Pass,0
42,10,2023-04-03,Pass,2
43,10,2023-11-05,Fail,0
44,11,2023-01-08,Pass,1
45,7,2023-03-20,Fail,0
46,18,2023-01-27,Fail,2
47,4,2023-06-23,Fail,0
48,2,2023-02-19,Fail,2
49,14,2023-07-18,Fail,1
50,13,2023-12-15,Fail,1
51,12,2023-06-30,Fail,2
52,7,2023-01-24,Fail,1
53,2,2023-11-12,Fail,1
54,13,2023-02-15,Pass,1
55,14,2023-01-15,Pass,1
56,17,2023-06-02,Pass,2
57,9,2023-08-10,Pass,0
58,17,2023-07-25,Pass,0
59,8,2023-09-30,Fail,1
60,2,2023-08-24,Fail,0
61,13,2023-12-06,Fail,0
62,3,2023-08-16,Fail,1
63,16,2023-01-09,Fail,1
64,6,2023-06-15,Fail,0
65,19,2023-11-15,Fail,2
66,7,2023-08-02,Pass,1
67,10,2023-04-27,Pass,2
68,9,2023-12-10,Pass,0
69,2,2023-03-13,Pass,1
70,15,2023-03-05,Fail,2
71,5,2023-07-24,Fail,1
72,4,2023-07-28,Fail,0
73,20,2023-03-13,Pass,2
74,4,2023-10-04,Fail,0
75,18,2023-10-01,Fail,0
76,4,2023-11-16,Fail,1
77,17,2023-12-04,Pass,2
78,12,2024-01-01,Fail,0
79,17,2023-04-05,Pass,0
80,10,2023-06-15,Pass,2
81,1,2023-02-01,Pass,0
82,18,2023-01-11,Pass,0
83,18,2023-10-28,Fail,2
84,14,2023-08-05,Pass,2
85,15,2023-10-16,Pass,2
86,12,2023-04-12,Fail,2
87,4,2023-09-24,Fail,1
88,3,2023-08-02,Pass,2
89,20,2023-06-28,Fail,1
90,12,2023-03-29,Pass,1
91,7,2023-02-10,Pass,1
92,11,2023-03-17,Pass,0
93,1,2023-02-15,Pass,1
94,6,2023-06-09,Fail,1
95,15,2023-03-21,Pass,0
96,15,2023-11-06,Fail,0
97,19,2023-03-27,Fail,0
98,11,2023-04-02,Fail,2
99,2,2023-05-28,Fail,0
100,14,2023-06-10,Pass,0
